"c2014","c2015","c2016","c2017","c2018","c2019","c2020","c2021","c2022"
"CK20180326001",1149,3115,"冷卷",16,63.931,11,"2018-03-26 00:34:19","2018-03-26 00:41:15"
"CK20180326003",1178,3128,"螺纹钢",21,39.3932,11,"2018-03-26 00:45:53","2018-03-26 00:47:18"
"CK20180326002",2197,3109,"热卷",4,56.091,11,"2018-03-26 00:43:31","2018-03-26 00:49:23"
"CK20180326005",501,3138,"硬线",24,30.8,11,"2018-03-26 01:27:32","2018-03-26 01:27:37"
"CK20180326004",1149,3115,"冷卷",13,48.209,11,"2018-03-26 01:27:02","2018-03-26 01:36:29"
"CK20180326006",2229,3128,"螺纹钢",27,53.0698,11,"2018-03-26 01:47:30","2018-03-26 01:49:06"
"CK20180326007",501,3138,"硬线",18,23.1,11,"2018-03-26 01:51:36","2018-03-26 01:51:41"
"CK20180326009",1178,3128,"螺纹钢",29,57.218,11,"2018-03-26 02:16:43","2018-03-26 02:17:27"
"CK20180326010",501,36,"盘螺",24,33.6,11,"2018-03-26 06:31:50","2018-03-26 06:31:58"
"CK20180326011",1737,376,"低合金中板",6,8.2992,11,"2018-03-26 07:09:22","2018-03-26 07:09:32"
"CK20180326012",1400,33419,"矩形坯",46,57.82,11,"2018-03-26 08:20:25","2018-03-26 08:20:25"
"CK20180326013",702,33419,"矩形坯",46,57.82,11,"2018-03-26 08:21:26","2018-03-26 08:21:26"
"CK20180326014",502,33419,"矩形坯",46,57.82,11,"2018-03-26 08:22:49","2018-03-26 08:22:58"
"CK20180326016",192,379,"花纹卷",1,16.87,11,"2018-03-26 08:54:19","2018-03-26 08:54:19"
"CKW20180326001",1850,3115,"冷卷",1,6.517,11,"2018-03-26 09:13:25","2018-03-26 09:13:25"
"CK20180326021",1400,33419,"矩形坯",46,57.9579,11,"2018-03-26 09:23:06","2018-03-26 09:23:06"
"CK20180326015",1149,3115,"冷卷",6,39.844,11,"2018-03-26 08:28:58","2018-03-26 09:23:53"
"CK20180326023",702,33419,"矩形坯",46,57.9579,11,"2018-03-26 09:25:01","2018-03-26 09:25:01"
"CK20180326024",1149,3115,"冷卷",1,4.011,11,"2018-03-26 09:25:35","2018-03-26 09:25:44"
"CK20180326025",502,33419,"矩形坯",46,57.9579,11,"2018-03-26 09:25:50","2018-03-26 09:25:59"
