"r2014","r2015","r2016","r2017","r2018","r2019","r2020","r2021","r2022"
"RK20180326001",200,33419,"矩形坯",30,46.354,2,"2018-03-26 00:10:23","2018-03-26 00:10:23"
"RK20180326002",200,33419,"矩形坯",30,46.326,2,"2018-03-26 00:11:36","2018-03-26 00:11:36"
"RK20180326003",200,33419,"矩形坯",26,40.068,2,"2018-03-26 00:12:36","2018-03-26 00:12:36"
"RK20180326004",1231,3109,"热卷",3,41.482,2,"2018-03-26 00:13:04","2018-03-26 00:13:04"
"RK20180326005",200,33419,"矩形坯",26,40.054,2,"2018-03-26 00:13:43","2018-03-26 00:13:43"
"RK20180326006",200,33419,"矩形坯",26,40.222,2,"2018-03-26 00:14:34","2018-03-26 00:14:34"
"RK20180326007",200,33419,"矩形坯",30,46.41,2,"2018-03-26 00:15:21","2018-03-26 00:15:21"
"RK20180326008",200,33419,"矩形坯",30,46.256,2,"2018-03-26 00:16:08","2018-03-26 00:16:08"
"RK20180326010",1231,3109,"热卷",3,47.222,2,"2018-03-26 00:19:29","2018-03-26 00:19:29"
"RK20180326011",1400,3109,"热卷",3,44.352,2,"2018-03-26 00:19:31","2018-03-26 00:19:31"
"RK20180326012",1400,3109,"热卷",3,38.374,2,"2018-03-26 00:23:19","2018-03-26 00:23:19"
"RK20180326013",967,33330,"热轧带钢",14,39.928,2,"2018-03-26 00:40:45","2018-03-26 00:40:45"
"RK20180322606",2439,3109,"热卷",3,46.816,2,"2018-03-26 00:45:33","2018-03-26 00:45:33"
"RK20180326015",967,33330,"热轧带钢",14,39.844,2,"2018-03-26 01:14:53","2018-03-26 01:14:53"
"RK20180326016",967,33330,"热轧带钢",14,39.984,2,"2018-03-26 01:19:54","2018-03-26 01:19:54"
"RK20180322605",2439,3109,"热卷",3,46.942,2,"2018-03-26 01:27:47","2018-03-26 01:27:47"
"RK20180326019",501,36,"盘螺",24,33.6,2,"2018-03-26 01:45:41","2018-03-26 01:45:41"
"RK20180326020",501,36,"盘螺",24,33.6,2,"2018-03-26 01:46:46","2018-03-26 01:46:46"
"RK20180326021",501,36,"盘螺",24,33.6,2,"2018-03-26 01:47:30","2018-03-26 01:47:30"
"RK20180326022",501,36,"盘螺",24,33.6,2,"2018-03-26 01:48:11","2018-03-26 01:48:11"
"RK20180326023",501,3128,"螺纹钢",20,39.2,2,"2018-03-26 01:49:28","2018-03-26 01:49:28"
"RK20180326024",501,3128,"螺纹钢",20,39.2,2,"2018-03-26 01:50:16","2018-03-26 01:50:16"
"RK20180326026",501,3128,"螺纹钢",20,39.2,2,"2018-03-26 01:50:52","2018-03-26 01:50:52"
"RK20180326027",501,3128,"螺纹钢",20,46.2,2,"2018-03-26 01:51:53","2018-03-26 01:51:53"
"RK20180326028",200,33419,"矩形坯",30,46.242,2,"2018-03-26 02:51:56","2018-03-26 02:51:56"
"RK20180326029",200,33419,"矩形坯",30,46.41,2,"2018-03-26 02:52:49","2018-03-26 02:52:49"
"RK20180326030",200,33419,"矩形坯",30,46.242,2,"2018-03-26 02:53:51","2018-03-26 02:53:51"
"RK20180326031",200,33419,"矩形坯",26,40.25,2,"2018-03-26 02:54:57","2018-03-26 02:54:57"
"RK20180326032",200,33419,"矩形坯",30,46.046,2,"2018-03-26 02:55:44","2018-03-26 02:55:44"
"RK20180326033",200,33419,"矩形坯",30,45.906,2,"2018-03-26 02:56:39","2018-03-26 02:56:39"
"RK20180326034",200,33419,"矩形坯",30,46.368,2,"2018-03-26 02:57:39","2018-03-26 02:57:39"
"RK20180326035",200,33419,"矩形坯",26,40.348,2,"2018-03-26 02:58:39","2018-03-26 02:58:39"
"RK20180326036",200,33419,"矩形坯",26,40.264,2,"2018-03-26 02:59:38","2018-03-26 02:59:38"
"RK20180326037",200,33419,"矩形坯",30,46.088,2,"2018-03-26 03:00:37","2018-03-26 03:00:37"
"RK20180326038",200,33419,"矩形坯",26,40.25,2,"2018-03-26 03:01:18","2018-03-26 03:01:18"
"RK20180326039",200,33419,"矩形坯",26,40.138,2,"2018-03-26 03:02:12","2018-03-26 03:02:12"
