"r2014","r2015","r2016","r2017","r2018","r2019","r2020","r2021","r2022"
"RK20180520452",292,3105,"低合金卷",1,20.1495,2,"2018-05-21 00:18:38","2018-05-21 00:18:38"
"RK20180520358",1400,3105,"低合金卷",1,20.4085,2,"2018-05-21 00:20:36","2018-05-21 00:20:36"
"RK20180520445",292,3105,"低合金卷",1,20.055,2,"2018-05-21 00:23:09","2018-05-21 00:23:09"
"RK20180520448",292,3105,"低合金卷",1,19.6665,2,"2018-05-21 00:23:22","2018-05-21 00:23:22"
"RK20180519647",2462,3128,"螺纹钢",20,39.802,2,"2018-05-21 00:24:13","2018-05-21 00:24:13"
"RK20180520327",1400,3105,"低合金卷",1,20.4575,2,"2018-05-21 00:24:41","2018-05-21 00:24:41"
"RK20180520338",1400,3105,"低合金卷",1,20.5135,2,"2018-05-21 00:25:00","2018-05-21 00:25:00"
"RK20180520340",1400,3105,"低合金卷",2,33.019,2,"2018-05-21 00:25:15","2018-05-21 00:25:15"
"RK20180520331",1400,3105,"低合金卷",2,40.95,2,"2018-05-21 00:29:18","2018-05-21 00:29:18"
"RK20180521871",1491,33320,"镀铝锌卷",2,10.409,2,"2018-05-21 00:29:50","2018-05-21 00:29:50"
"RK20180521878",189,33320,"镀铝锌卷",4,14.574,2,"2018-05-21 00:29:50","2018-05-21 00:29:50"
"RK20180521882",189,33320,"镀铝锌卷",6,11.473,2,"2018-05-21 00:29:50","2018-05-21 00:29:50"
"RK20180521876",189,33320,"镀铝锌卷",4,10.549,2,"2018-05-21 00:29:50","2018-05-21 00:29:50"
"RK20180521881",189,33320,"镀铝锌卷",5,13.734,2,"2018-05-21 00:29:50","2018-05-21 00:29:50"
"RK20180520335",1400,3105,"低合金卷",2,40.677,2,"2018-05-21 00:30:03","2018-05-21 00:30:03"
"RK20180521003",177,3115,"冷卷",5,41.6465,2,"2018-05-21 00:30:10","2018-05-21 00:30:10"
"RK20180520444",292,3109,"热卷",2,40.9185,2,"2018-05-21 00:34:25","2018-05-21 00:34:25"
"RK20180520408",169,3109,"热卷",2,40.3235,2,"2018-05-21 00:36:57","2018-05-21 00:36:57"
"RK201805181072",1400,33419,"矩形坯",28,40.159,2,"2018-05-21 00:38:31","2018-05-21 00:38:31"
"RK20180520336",1400,3109,"热卷",1,20.139,2,"2018-05-21 00:38:39","2018-05-21 00:38:39"
"RK20180520336",1400,3105,"低合金卷",1,20.1915,2,"2018-05-21 00:38:39","2018-05-21 00:38:39"
"RK20180520349",1400,3105,"低合金卷",2,40.3235,2,"2018-05-21 00:38:48","2018-05-21 00:38:48"
"RK20180520352",1400,3105,"低合金卷",2,40.124,2,"2018-05-21 00:41:32","2018-05-21 00:41:32"
"RK201805181089",1400,33419,"矩形坯",28,40.187,2,"2018-05-21 00:43:43","2018-05-21 00:43:43"
"RK201805181090",1400,33419,"矩形坯",28,39.977,2,"2018-05-21 00:45:44","2018-05-21 00:45:44"
"RK20180519305",1583,3109,"热卷",1,16.9925,2,"2018-05-21 00:45:46","2018-05-21 00:45:46"
"RK20180519267",1400,3105,"低合金卷",1,17.9095,2,"2018-05-21 00:46:59","2018-05-21 00:46:59"
"RK20180520461",297,3105,"低合金卷",1,20.0025,2,"2018-05-21 00:47:27","2018-05-21 00:47:27"
"RK201805181074",1400,33419,"矩形坯",28,40.243,2,"2018-05-21 00:47:45","2018-05-21 00:47:45"
"RK20180519245",1161,3120,"酸洗卷",2,7.588,2,"2018-05-21 00:47:57","2018-05-21 00:47:57"
"RK20180519287",192,379,"花纹卷",1,7.553,2,"2018-05-21 00:48:52","2018-05-21 00:48:52"
"RK20180520356",1400,3105,"低合金卷",1,19.264,2,"2018-05-21 00:49:24","2018-05-21 00:49:24"
"RK201805181071",1400,33419,"矩形坯",28,40.383,2,"2018-05-21 00:49:56","2018-05-21 00:49:56"
"RK20180519308",1184,3115,"冷卷",4,27.937,2,"2018-05-21 00:50:18","2018-05-21 00:50:18"
"RK201805181094",1400,33419,"矩形坯",28,40.243,2,"2018-05-21 00:51:42","2018-05-21 00:51:42"
"RK20180520383",2397,3120,"酸洗卷",2,11.48,2,"2018-05-21 00:53:08","2018-05-21 00:53:08"
"RK201805181096",1400,33419,"矩形坯",28,40.012,2,"2018-05-21 00:54:11","2018-05-21 00:54:11"
"RK20180520424",1184,3115,"冷卷",5,21.217,2,"2018-05-21 00:55:36","2018-05-21 00:55:36"
"RK20180519275",194,3109,"热卷",2,40.971,2,"2018-05-21 00:55:44","2018-05-21 00:55:44"
"RK20180521008",177,3115,"冷卷",6,46.13,2,"2018-05-21 00:56:54","2018-05-21 00:56:54"
"RK20180519295",169,3109,"热卷",2,40.4075,2,"2018-05-21 00:59:28","2018-05-21 00:59:28"
"RK20180519645",2462,3128,"螺纹钢",20,39.466,2,"2018-05-21 01:12:58","2018-05-21 01:12:58"
"RK20180520339",1400,3105,"低合金卷",2,41.013,2,"2018-05-21 01:14:03","2018-05-21 01:14:03"
"RK20180520325",1161,3109,"热卷",3,19.334,2,"2018-05-21 01:16:28","2018-05-21 01:16:28"
"RK20180520325",1161,3105,"低合金卷",1,5.922,2,"2018-05-21 01:16:28","2018-05-21 01:16:28"
"RK20180520329",1400,3105,"低合金卷",2,40.8765,2,"2018-05-21 01:19:29","2018-05-21 01:19:29"
"RK20180519321",1588,3115,"冷卷",1,4.641,2,"2018-05-21 01:24:12","2018-05-21 01:24:12"
"RK20180519254",1400,3115,"冷卷",4,19.411,2,"2018-05-21 01:26:55","2018-05-21 01:26:55"
"RK20180521011",1699,3120,"酸洗卷",2,14.329,2,"2018-05-21 01:27:43","2018-05-21 01:27:43"
"RK20180519300",169,3115,"冷卷",1,6.293,2,"2018-05-21 01:28:13","2018-05-21 01:28:13"
"RK20180519300",169,3120,"酸洗卷",5,27.594,2,"2018-05-21 01:28:13","2018-05-21 01:28:13"
"RK20180520425",1184,3115,"冷卷",5,28.875,2,"2018-05-21 01:34:05","2018-05-21 01:34:05"
"RK20180520385",330,3109,"热卷",1,20.244,2,"2018-05-21 01:39:04","2018-05-21 01:39:04"
"RK20180520360",1400,3105,"低合金卷",1,20.482,2,"2018-05-21 01:40:47","2018-05-21 01:40:47"
"RK20180519307",1184,3115,"冷卷",7,42.595,2,"2018-05-21 01:58:03","2018-05-21 01:58:03"
"RK20180520372",194,3105,"低合金卷",1,20.328,2,"2018-05-21 01:59:05","2018-05-21 01:59:05"
"RK20180519320",1588,3115,"冷卷",1,4.34,2,"2018-05-21 01:59:59","2018-05-21 01:59:59"
"RK20180520332",1400,3105,"低合金卷",1,20.6045,2,"2018-05-21 02:00:15","2018-05-21 02:00:15"
"RK20180519312",973,3115,"冷卷",2,11.221,2,"2018-05-21 02:00:57","2018-05-21 02:00:57"
"RK20180520348",1400,3105,"低合金卷",2,40.9325,2,"2018-05-21 02:02:22","2018-05-21 02:02:22"
"RK20180519272",972,3115,"冷卷",3,12.761,2,"2018-05-21 02:02:42","2018-05-21 02:02:42"
"RK20180520351",1400,3105,"低合金卷",2,40.3865,2,"2018-05-21 02:06:13","2018-05-21 02:06:13"
"RK20180520447",292,3105,"低合金卷",2,40.4775,2,"2018-05-21 02:40:22","2018-05-21 02:40:22"
"RK20180520446",292,3105,"低合金卷",2,39.949,2,"2018-05-21 02:43:19","2018-05-21 02:43:19"
"RK20180520451",292,3105,"低合金卷",2,40.159,2,"2018-05-21 02:50:02","2018-05-21 02:50:02"
"RK20180520449",292,3105,"低合金卷",2,40.5615,2,"2018-05-21 02:55:48","2018-05-21 02:55:48"
"RK20180518423",2365,3119,"镀锌卷",5,42.854,2,"2018-05-21 03:11:00","2018-05-21 03:11:00"
"RK20180519270",2192,3128,"螺纹钢",22,35.987,2,"2018-05-21 04:15:20","2018-05-21 04:15:20"
"RK20180519271",2192,3128,"螺纹钢",22,35.931,2,"2018-05-21 04:18:33","2018-05-21 04:18:33"
"RK20180521041",967,33330,"热轧带钢",16,45.472,2,"2018-05-21 04:36:10","2018-05-21 04:36:10"
"RK20180521042",967,33330,"热轧带钢",15,42.714,2,"2018-05-21 04:37:00","2018-05-21 04:37:00"
"RK20180521043",967,33330,"热轧带钢",15,42.966,2,"2018-05-21 04:37:42","2018-05-21 04:37:42"
"RK20180521044",967,33330,"热轧带钢",16,45.472,2,"2018-05-21 04:38:21","2018-05-21 04:38:21"
"RK20180521045",967,33330,"热轧带钢",15,42.504,2,"2018-05-21 04:38:58","2018-05-21 04:38:58"
"RK20180521046",1621,33330,"热轧带钢",15,48.93,2,"2018-05-21 04:39:44","2018-05-21 04:39:44"
"RK20180521049",200,33419,"矩形坯",32,49.056,2,"2018-05-21 04:45:57","2018-05-21 04:45:57"
"RK20180521051",200,33419,"矩形坯",32,49.056,2,"2018-05-21 04:47:38","2018-05-21 04:47:38"
"RK20180521052",200,33419,"矩形坯",32,49.056,2,"2018-05-21 04:48:57","2018-05-21 04:48:57"
"RK20180521053",200,33419,"矩形坯",32,49.056,2,"2018-05-21 04:49:57","2018-05-21 04:49:57"
"RK20180521055",200,33419,"矩形坯",32,49.056,2,"2018-05-21 04:51:10","2018-05-21 04:51:10"
"RK20180521057",200,33419,"矩形坯",32,49.056,2,"2018-05-21 04:52:10","2018-05-21 04:52:10"
"RK20180521058",200,33419,"矩形坯",32,49.056,2,"2018-05-21 04:53:10","2018-05-21 04:53:10"
"RK20180521059",200,33419,"矩形坯",32,49.056,2,"2018-05-21 04:54:22","2018-05-21 04:54:22"
"RK20180521060",200,33419,"矩形坯",32,49.056,2,"2018-05-21 04:55:22","2018-05-21 04:55:22"
"RK20180521062",200,33419,"矩形坯",26,39.858,2,"2018-05-21 04:56:21","2018-05-21 04:56:21"
"RK20180521063",200,33419,"矩形坯",32,49.056,2,"2018-05-21 04:57:23","2018-05-21 04:57:23"
"RK20180521064",200,33419,"矩形坯",32,49.056,2,"2018-05-21 04:58:29","2018-05-21 04:58:29"
"RK20180521065",200,33419,"矩形坯",26,39.858,2,"2018-05-21 04:59:29","2018-05-21 04:59:29"
"RK20180521066",200,33419,"矩形坯",26,39.858,2,"2018-05-21 05:00:29","2018-05-21 05:00:29"
"RK20180521067",200,33419,"矩形坯",32,49.056,2,"2018-05-21 05:01:28","2018-05-21 05:01:28"
"RK20180521068",200,33419,"矩形坯",26,39.858,2,"2018-05-21 05:02:28","2018-05-21 05:02:28"
"RK20180521069",200,33419,"矩形坯",26,39.858,2,"2018-05-21 05:03:26","2018-05-21 05:03:26"
"RK20180521070",200,33419,"矩形坯",32,49.056,2,"2018-05-21 05:04:43","2018-05-21 05:04:43"
"RK20180521072",200,33419,"矩形坯",26,39.858,2,"2018-05-21 05:05:32","2018-05-21 05:05:32"
"RK20180521074",200,33419,"矩形坯",26,39.858,2,"2018-05-21 05:06:29","2018-05-21 05:06:29"
"RK20180521075",200,33419,"矩形坯",32,49.056,2,"2018-05-21 05:07:21","2018-05-21 05:07:21"
"RK20180521077",200,33419,"矩形坯",26,39.858,2,"2018-05-21 05:08:18","2018-05-21 05:08:18"
"RK20180521078",200,33419,"矩形坯",26,39.858,2,"2018-05-21 05:09:13","2018-05-21 05:09:13"
"RK20180521079",200,33419,"矩形坯",32,49.056,2,"2018-05-21 05:10:09","2018-05-21 05:10:09"
"RK20180519269",2192,3128,"螺纹钢",22,35.903,2,"2018-05-21 05:41:29","2018-05-21 05:41:29"
"RK20180520403",169,3119,"镀锌卷",10,44.058,2,"2018-05-21 06:18:56","2018-05-21 06:18:56"
"RK20180520369",972,3115,"冷卷",2,6.258,2,"2018-05-21 06:21:33","2018-05-21 06:21:33"
"RK20180520330",1400,3115,"冷卷",2,7.987,2,"2018-05-21 06:22:55","2018-05-21 06:22:55"
"RK20180520387",169,3109,"热卷",2,39.83,2,"2018-05-21 06:24:02","2018-05-21 06:24:02"
"RK20180520450",292,3105,"低合金卷",1,20.153,2,"2018-05-21 06:24:44","2018-05-21 06:24:44"
"RK20180519639",2462,3128,"螺纹钢",24,47.838,2,"2018-05-21 06:25:38","2018-05-21 06:25:38"
"RK20180520344",1400,3105,"低合金卷",1,20.048,2,"2018-05-21 06:26:27","2018-05-21 06:26:27"
"RK20180520460",297,3105,"低合金卷",1,19.712,2,"2018-05-21 06:29:01","2018-05-21 06:29:01"
"RK20180520376",192,3115,"冷卷",6,20.447,2,"2018-05-21 06:29:17","2018-05-21 06:29:17"
"RK20180520350",1400,3105,"低合金卷",1,20.251,2,"2018-05-21 06:30:02","2018-05-21 06:30:02"
"RK20180520442",1542,3105,"低合金卷",1,20.097,2,"2018-05-21 06:30:57","2018-05-21 06:30:57"
"RK20180520437",1566,3105,"低合金卷",1,19.8485,2,"2018-05-21 06:32:34","2018-05-21 06:32:34"
"RK20180520456",297,3105,"低合金卷",1,20.069,2,"2018-05-21 06:33:51","2018-05-21 06:33:51"
"RK20180520341",1400,3105,"低合金卷",1,19.964,2,"2018-05-21 06:36:48","2018-05-21 06:36:48"
"RK20180520391",169,3119,"镀锌卷",10,44.387,2,"2018-05-21 06:38:32","2018-05-21 06:38:32"
"RK20180520411",169,3109,"热卷",2,40.467,2,"2018-05-21 06:48:32","2018-05-21 06:48:32"
"RK20180520434",350,33401,"车轮钢卷",4,43.519,2,"2018-05-21 06:50:38","2018-05-21 06:50:38"
"RK20180520458",297,3105,"低合金卷",1,20.5485,2,"2018-05-21 06:56:06","2018-05-21 06:56:06"
"RK20180520435",350,33401,"车轮钢卷",2,28.987,2,"2018-05-21 06:56:15","2018-05-21 06:56:15"
"RK20180520343",1400,3105,"低合金卷",1,20.5485,2,"2018-05-21 06:57:26","2018-05-21 06:57:26"
