"c2014","c2015","c2016","c2017","c2018","c2019","c2020","c2021","c2022"
"CK20180521001",2489,323,"无缝管",12,23.506,11,"2018-05-21 00:26:04","2018-05-21 00:26:52"
"CK20180521002",2489,323,"无缝管",4,6.8159,11,"2018-05-21 00:26:38","2018-05-21 00:27:23"
"CK20180521005",2229,3128,"螺纹钢",8,15.883,11,"2018-05-21 00:27:46","2018-05-21 00:30:19"
"CK20180521006",2560,3138,"硬线",6,8.3125,11,"2018-05-21 00:30:41","2018-05-21 00:31:30"
"CK20180521013",242,372,"普碳中板",1,3.0226,11,"2018-05-21 00:36:13","2018-05-21 00:37:14"
"CK20180521016",2609,372,"普碳中板",4,10.3418,11,"2018-05-21 00:39:01","2018-05-21 00:40:48"
"CK20180521017",1149,3115,"冷卷",13,56.609,11,"2018-05-21 00:54:14","2018-05-21 01:07:34"
"CK20180521018",1761,376,"低合金中板",8,22.337,11,"2018-05-21 01:10:22","2018-05-21 01:11:24"
"CK20180521019",1761,376,"低合金中板",1,2.8301,11,"2018-05-21 01:14:16","2018-05-21 01:14:48"
"CK20180521025",1540,3109,"热卷",1,11.312,11,"2018-05-21 01:19:57","2018-05-21 01:41:05"
"CK20180521024",1540,3109,"热卷",3,33.936,11,"2018-05-21 01:19:43","2018-05-21 01:41:58"
"CK20180521030",2229,3128,"螺纹钢",17,33.509,11,"2018-05-21 01:42:17","2018-05-21 01:43:29"
"CK20180521030",2229,33527,"盘圆",3,4.053,11,"2018-05-21 01:42:17","2018-05-21 01:43:29"
"CK20180521043",2412,3128,"螺纹钢",10,19.5825,11,"2018-05-21 02:34:32","2018-05-21 02:35:35"
"CK20180521043",2412,36,"盘螺",9,12.194,11,"2018-05-21 02:34:32","2018-05-21 02:35:35"
"CK20180521046",2462,3128,"螺纹钢",10,19.9465,11,"2018-05-21 03:06:53","2018-05-21 03:07:14"
"CK20180521049",2560,3138,"硬线",10,13.8565,11,"2018-05-21 03:17:31","2018-05-21 03:17:45"
"CK20180521052",2229,33527,"盘圆",15,20.657,11,"2018-05-21 03:52:57","2018-05-21 03:56:00"
"CK20180521052",2229,3128,"螺纹钢",17,32.8265,11,"2018-05-21 03:52:57","2018-05-21 03:56:00"
"CK20180521083",2229,36,"盘螺",8,10.731,11,"2018-05-21 06:03:50","2018-05-21 06:04:14"
"CK20180521084",2229,3128,"螺纹钢",24,43.1095,11,"2018-05-21 06:04:55","2018-05-21 06:06:27"
