"r2014","r2015","r2016","r2017","r2018","r2019","r2020","r2021","r2022"
"RK20180226006",501,3138,"硬线",32,44.1,2,"2018-02-26 00:30:44","2018-02-26 00:30:44"
"RK20180226007",501,3138,"硬线",24,32.9,2,"2018-02-26 00:33:54","2018-02-26 00:33:54"
"RK20180226008",501,36,"盘螺",35,46.9,2,"2018-02-26 00:34:56","2018-02-26 00:34:56"
"RK20180226009",501,3138,"硬线",24,32.9,2,"2018-02-26 00:35:36","2018-02-26 00:35:36"
"RK20180226010",501,3138,"硬线",24,32.9,2,"2018-02-26 00:37:47","2018-02-26 00:37:47"
"RK20180226011",501,3138,"硬线",24,32.9,2,"2018-02-26 00:39:54","2018-02-26 00:39:54"
"RK20180224810",194,3105,"低合金卷",3,21.287,2,"2018-02-26 00:44:29","2018-02-26 00:44:29"
"RK20180225652",169,3115,"冷卷",10,46.452,2,"2018-02-26 00:46:00","2018-02-26 00:46:00"
"RK20180224788",1400,3105,"低合金卷",3,21.357,2,"2018-02-26 00:46:07","2018-02-26 00:46:07"
"RK20180225678",1588,3115,"冷卷",3,11.9,2,"2018-02-26 00:47:50","2018-02-26 00:47:50"
"RK20180225671",973,3115,"冷卷",7,27.524,2,"2018-02-26 00:53:34","2018-02-26 00:53:34"
"RK20180225671",973,3119,"镀锌卷",1,3.325,2,"2018-02-26 00:53:34","2018-02-26 00:53:34"
"RK20180224872",169,3105,"低合金卷",6,40.18,2,"2018-02-26 00:54:36","2018-02-26 00:54:36"
"RK20180226017",501,3138,"硬线",30,39.9,2,"2018-02-26 00:58:25","2018-02-26 00:58:25"
"RK20180223856",169,3119,"镀锌卷",7,38.283,2,"2018-02-26 01:05:51","2018-02-26 01:05:51"
"RK20180225597",1400,3115,"冷卷",1,3.794,2,"2018-02-26 01:10:55","2018-02-26 01:10:55"
"RK20180224806",194,3105,"低合金卷",5,36.099,2,"2018-02-26 01:14:23","2018-02-26 01:14:23"
"RK20180224778",1400,3105,"低合金卷",1,7.476,2,"2018-02-26 01:15:36","2018-02-26 01:15:36"
"RK20180225611",1400,3109,"热卷",6,34.153,2,"2018-02-26 01:22:40","2018-02-26 01:22:40"
"RK20180224817",192,3109,"热卷",1,14.665,2,"2018-02-26 01:26:20","2018-02-26 01:26:20"
"RK20180225655",169,3115,"冷卷",12,45.458,2,"2018-02-26 01:28:29","2018-02-26 01:28:29"
"RK20180224799",194,3109,"热卷",1,13.062,2,"2018-02-26 01:28:54","2018-02-26 01:28:54"
"RK20180224772",1400,3109,"热卷",1,14.63,2,"2018-02-26 01:29:49","2018-02-26 01:29:49"
"RK20180224846",169,3109,"热卷",3,44.121,2,"2018-02-26 01:31:59","2018-02-26 01:31:59"
"RK20180226025",1852,323,"无缝管",131,25.0376,2,"2018-02-26 01:34:31","2018-02-26 01:34:31"
"RK20180224808",194,3109,"热卷",2,29.351,2,"2018-02-26 01:37:20","2018-02-26 01:37:20"
"RK20180225586",1161,3109,"热卷",6,36.75,2,"2018-02-26 01:38:02","2018-02-26 01:38:02"
"RK20180224784",1400,3109,"热卷",1,14.665,2,"2018-02-26 01:38:22","2018-02-26 01:38:22"
"RK20180224861",169,3109,"热卷",2,29.386,2,"2018-02-26 01:44:50","2018-02-26 01:44:50"
"RK20180225694",292,3109,"热卷",1,14.707,2,"2018-02-26 01:45:29","2018-02-26 01:45:29"
"RK20180225686",1542,3109,"热卷",1,14.7,2,"2018-02-26 01:46:30","2018-02-26 01:46:30"
"RK20180224878",1583,3109,"热卷",1,14.7,2,"2018-02-26 01:46:53","2018-02-26 01:46:53"
"RK20180224802",194,3109,"热卷",1,14.644,2,"2018-02-26 01:48:27","2018-02-26 01:48:27"
"RK20180224774",1400,3109,"热卷",1,14.707,2,"2018-02-26 01:49:22","2018-02-26 01:49:22"
"RK20180225653",169,3105,"低合金卷",6,36.162,2,"2018-02-26 01:57:52","2018-02-26 01:57:52"
"RK20180224845",169,3109,"热卷",3,44.058,2,"2018-02-26 01:58:03","2018-02-26 01:58:03"
"RK20180225682",1542,3109,"热卷",1,14.735,2,"2018-02-26 02:06:06","2018-02-26 02:06:06"
"RK20180225595",1400,3109,"热卷",6,40.915,2,"2018-02-26 02:06:52","2018-02-26 02:06:52"
"RK20180225623",194,3109,"热卷",1,12.418,2,"2018-02-26 02:07:05","2018-02-26 02:07:05"
"RK20180225599",1400,3109,"热卷",1,13.02,2,"2018-02-26 02:08:28","2018-02-26 02:08:28"
"RK20180226032",501,3128,"螺纹钢",27,44.8,2,"2018-02-26 02:10:41","2018-02-26 02:10:41"
"RK20180225637",192,3109,"热卷",1,6.237,2,"2018-02-26 02:12:33","2018-02-26 02:12:33"
"RK20180225637",192,394,"大梁卷",4,25.004,2,"2018-02-26 02:12:33","2018-02-26 02:12:33"
"RK20180225624",194,3105,"低合金卷",1,7.399,2,"2018-02-26 02:14:43","2018-02-26 02:14:43"
"RK20180225598",1400,3109,"热卷",2,27.748,2,"2018-02-26 02:23:11","2018-02-26 02:23:11"
"RK20180225692",292,3109,"热卷",1,13.867,2,"2018-02-26 02:24:01","2018-02-26 02:24:01"
"RK20180225689",292,3109,"热卷",1,14.7,2,"2018-02-26 03:09:35","2018-02-26 03:09:35"
"RK20180225593",1400,3109,"热卷",1,14.679,2,"2018-02-26 03:10:42","2018-02-26 03:10:42"
"RK20180225612",1400,3109,"热卷",6,33.768,2,"2018-02-26 03:10:47","2018-02-26 03:10:47"
"RK20180224877",169,3109,"热卷",3,44.121,2,"2018-02-26 03:11:35","2018-02-26 03:11:35"
"RK20180225635",192,3109,"热卷",1,14.679,2,"2018-02-26 03:12:18","2018-02-26 03:12:18"
"RK20180225620",194,3109,"热卷",3,44.198,2,"2018-02-26 03:13:03","2018-02-26 03:13:03"
"RK20180224911",292,3109,"热卷",1,14.693,2,"2018-02-26 03:13:19","2018-02-26 03:13:19"
"RK20180225622",194,3109,"热卷",2,27.314,2,"2018-02-26 03:13:42","2018-02-26 03:13:42"
"RK20180224831",192,3109,"热卷",1,14.707,2,"2018-02-26 03:14:19","2018-02-26 03:14:19"
"RK20180225695",292,3109,"热卷",2,29.365,2,"2018-02-26 03:15:55","2018-02-26 03:15:55"
"RK20180224793",1400,3109,"热卷",1,14.714,2,"2018-02-26 03:16:11","2018-02-26 03:16:11"
"RK20180225642",192,3109,"热卷",2,29.442,2,"2018-02-26 03:17:17","2018-02-26 03:17:17"
"RK20180224876",169,3109,"热卷",3,41.356,2,"2018-02-26 03:19:59","2018-02-26 03:19:59"
"RK20180225690",292,3109,"热卷",2,29.351,2,"2018-02-26 03:20:28","2018-02-26 03:20:28"
"RK20180225633",192,3109,"热卷",1,14.693,2,"2018-02-26 03:21:44","2018-02-26 03:21:44"
"RK20180225660",169,3109,"热卷",2,29.407,2,"2018-02-26 03:25:23","2018-02-26 03:25:23"
"RK20180224898",1542,3109,"热卷",2,29.351,2,"2018-02-26 03:25:25","2018-02-26 03:25:25"
"RK20180224794",1400,3109,"热卷",1,14.686,2,"2018-02-26 03:26:46","2018-02-26 03:26:46"
"RK20180225658",169,3109,"热卷",2,29.407,2,"2018-02-26 03:29:55","2018-02-26 03:29:55"
"RK20180225688",1542,3109,"热卷",2,29.372,2,"2018-02-26 03:30:23","2018-02-26 03:30:23"
"RK20180225681",1542,3105,"低合金卷",1,14.252,2,"2018-02-26 03:32:53","2018-02-26 03:32:53"
"RK20180224780",1400,3115,"冷卷",6,23.296,2,"2018-02-26 03:33:12","2018-02-26 03:33:12"
"RK20180226046",189,3109,"热卷",3,40.873,2,"2018-02-26 03:33:24","2018-02-26 03:33:24"
"RK20180225619",194,3109,"热卷",1,14.735,2,"2018-02-26 03:34:03","2018-02-26 03:34:03"
"RK20180224895",1588,3115,"冷卷",1,3.528,2,"2018-02-26 03:34:39","2018-02-26 03:34:39"
"RK20180225592",1400,3109,"热卷",1,14.7,2,"2018-02-26 03:35:07","2018-02-26 03:35:07"
"RK20180224795",375,3115,"冷卷",3,11.837,2,"2018-02-26 03:36:09","2018-02-26 03:36:09"
"RK20180223768",375,3115,"冷卷",1,3.514,2,"2018-02-26 03:45:28","2018-02-26 03:45:28"
"RK20180223875",973,3119,"镀锌卷",1,3.339,2,"2018-02-26 03:47:27","2018-02-26 03:47:27"
"RK20180223791",192,3115,"冷卷",1,5.628,2,"2018-02-26 03:51:13","2018-02-26 03:51:13"
"RK20180223714",1400,3115,"冷卷",3,11.641,2,"2018-02-26 03:52:04","2018-02-26 03:52:04"
"RK20180226049",1699,3115,"冷卷",1,4.942,2,"2018-02-26 03:53:57","2018-02-26 03:53:57"
"RK20180226052",501,3138,"硬线",24,32.9,2,"2018-02-26 04:18:48","2018-02-26 04:18:48"
"RK20180226054",501,3128,"螺纹钢",24,39.9,2,"2018-02-26 04:23:50","2018-02-26 04:23:50"
"RK20180226055",501,3128,"螺纹钢",27,44.8,2,"2018-02-26 04:25:30","2018-02-26 04:25:30"
"RK20180226056",501,3138,"硬线",30,39.9,2,"2018-02-26 04:30:02","2018-02-26 04:30:02"
"RK20180226057",501,3138,"硬线",30,39.9,2,"2018-02-26 04:31:08","2018-02-26 04:31:08"
"RK20180226058",501,3138,"硬线",30,39.9,2,"2018-02-26 04:32:37","2018-02-26 04:32:37"
"RK20180224202",1212,3109,"热卷",1,19.9374,2,"2018-02-26 04:47:16","2018-02-26 04:47:16"
"RK20180224202",1212,3105,"低合金卷",1,20.0522,2,"2018-02-26 04:47:16","2018-02-26 04:47:16"
"RK20180224204",1212,3109,"热卷",2,40.523,2,"2018-02-26 04:48:28","2018-02-26 04:48:28"
"RK20180224213",1212,3109,"热卷",2,40.656,2,"2018-02-26 04:50:24","2018-02-26 04:50:24"
"RK20180224217",1212,3109,"热卷",2,40.397,2,"2018-02-26 04:52:27","2018-02-26 04:52:27"
