"c2014","c2015","c2016","c2017","c2018","c2019","c2020","c2021","c2022"
"CK20180226011",972,3114,"冷板",1,4.039,11,"2018-02-26 00:21:55","2018-02-26 00:22:38"
"CK20180226030",1046,323,"无缝管",131,25.0376,11,"2018-02-26 01:34:31","2018-02-26 01:34:31"
"CK20180226033",1852,323,"无缝管",131,25.0376,11,"2018-02-26 01:36:07","2018-02-26 01:36:16"
"CK20180226064",501,3128,"螺纹钢",23,47.6,11,"2018-02-26 06:09:06","2018-02-26 06:09:15"
"CK20180226065",952,33419,"矩形坯",36,56.3269,11,"2018-02-26 06:41:10","2018-02-26 06:41:10"
"CK20180226066",502,33419,"矩形坯",36,56.3269,11,"2018-02-26 06:42:26","2018-02-26 06:42:36"
"CK20180226067",1542,3105,"低合金卷",3,59.6015,11,"2018-02-26 06:43:46","2018-02-26 06:49:51"
"CK20180226068",952,33419,"矩形坯",36,55.8824,11,"2018-02-26 07:17:13","2018-02-26 07:17:13"
"CK20180226069",502,33419,"矩形坯",36,55.8824,11,"2018-02-26 07:19:49","2018-02-26 07:19:59"
"CK20180226070",501,3138,"硬线",27,35.4375,11,"2018-02-26 07:49:12","2018-02-26 07:49:31"
"CK20180226071",952,33419,"矩形坯",36,55.6941,11,"2018-02-26 08:00:11","2018-02-26 08:00:11"
"CK20180226072",502,33419,"矩形坯",36,55.6941,11,"2018-02-26 08:01:49","2018-02-26 08:01:57"
"CK20180226073",952,33419,"矩形坯",36,56.2835,11,"2018-02-26 08:18:49","2018-02-26 08:18:49"
"CK20180226074",502,33419,"矩形坯",36,56.2835,11,"2018-02-26 08:20:29","2018-02-26 08:20:36"
"CKW20180226001",1212,3105,"低合金卷",1,20.0214,11,"2018-02-26 08:44:00","2018-02-26 08:44:00"
"CKW20180226001",1212,3109,"热卷",63,1272.3522,11,"2018-02-26 08:44:00","2018-02-26 08:44:00"
"CK20180226075",952,33419,"矩形坯",40,62.7956,11,"2018-02-26 08:47:11","2018-02-26 08:47:11"
"CK20180226076",502,33419,"矩形坯",40,62.7956,11,"2018-02-26 08:48:28","2018-02-26 08:48:38"
"CKW20180226002",353,3109,"热卷",2,15.12,11,"2018-02-26 09:03:38","2018-02-26 09:03:38"
"CKW20180226003",410,3115,"冷卷",1,4.543,11,"2018-02-26 09:08:20","2018-02-26 09:08:20"
"CKW20180226004",789,33320,"镀铝锌卷",1,3.43,11,"2018-02-26 09:13:15","2018-02-26 09:13:15"
"CK20180226079",501,33527,"盘圆",26,34.2223,11,"2018-02-26 09:19:03","2018-02-26 09:19:19"
"CK20180226082",952,33419,"矩形坯",36,56.2072,11,"2018-02-26 09:22:29","2018-02-26 09:22:29"
"CK20180226083",502,33419,"矩形坯",36,56.2072,11,"2018-02-26 09:23:49","2018-02-26 09:23:58"
"CKW20180226005",469,3109,"热卷",1,19.852,11,"2018-02-26 09:30:02","2018-02-26 09:30:02"
"CKW20180226006",972,3115,"冷卷",1,3.969,11,"2018-02-26 09:35:02","2018-02-26 09:35:02"
"CK20180225186",364,3115,"冷卷",1,6.055,11,"2018-02-25 09:54:37","2018-02-26 09:37:00"
"CK20180224823",364,3115,"冷卷",1,6.132,11,"2018-02-24 21:16:15","2018-02-26 09:38:15"
"CK20180224811",364,3115,"冷卷",1,3.493,11,"2018-02-24 21:09:18","2018-02-26 09:38:59"
"CK20180224812",364,3115,"冷卷",2,8.533,11,"2018-02-24 21:09:53","2018-02-26 09:39:36"
"CK20180224824",591,3115,"冷卷",1,3.78,11,"2018-02-24 21:17:34","2018-02-26 09:40:08"
"CK20180224832",364,3115,"冷卷",1,6.125,11,"2018-02-24 21:22:20","2018-02-26 09:40:40"
"CK20180224565",364,3115,"冷卷",1,5.313,11,"2018-02-24 16:20:13","2018-02-26 09:41:11"
"CK20180224404",364,3115,"冷卷",2,12.383,11,"2018-02-24 14:18:45","2018-02-26 09:42:23"
"CK20180226087",364,3115,"冷卷",1,6.188,11,"2018-02-26 09:42:52","2018-02-26 09:43:06"
"CK20180224268",364,3115,"冷卷",2,12.327,11,"2018-02-24 11:27:23","2018-02-26 09:43:40"
"CK20180226088",364,3115,"冷卷",2,10.556,11,"2018-02-26 09:44:07","2018-02-26 09:44:19"
"CK20180224471",364,3115,"冷卷",1,4.949,11,"2018-02-24 14:58:43","2018-02-26 09:47:37"
"CK20180224473",364,3115,"冷卷",1,6.251,11,"2018-02-24 14:59:14","2018-02-26 09:48:07"
"CK20180224361",364,3115,"冷卷",1,6.118,11,"2018-02-24 13:26:45","2018-02-26 09:48:47"
"CK20180224340",364,3115,"冷卷",1,5.222,11,"2018-02-24 13:00:08","2018-02-26 09:49:09"
"CK20180224339",364,3115,"冷卷",2,10.619,11,"2018-02-24 12:59:32","2018-02-26 09:49:39"
"CK20180226086",1346,3115,"冷卷",3,16.079,11,"2018-02-26 09:33:11","2018-02-26 09:50:00"
"CK20180224262",364,3115,"冷卷",2,9.765,11,"2018-02-24 11:22:17","2018-02-26 09:50:09"
"CK20180226090",967,33330,"热轧带钢",12,39.06,11,"2018-02-26 09:50:19","2018-02-26 09:50:30"
"CK20180226091",1400,3109,"热卷",5,27.8635,11,"2018-02-26 09:51:35","2018-02-26 09:51:35"
"CK20180224266",591,3119,"镀锌卷",1,4.753,11,"2018-02-24 11:26:57","2018-02-26 09:51:47"
"CK20180226089",1346,3115,"冷卷",4,16.233,11,"2018-02-26 09:50:15","2018-02-26 09:55:14"
"CK20180226094",364,3115,"冷卷",1,3.241,11,"2018-02-26 09:55:11","2018-02-26 09:55:31"
"CK20180226097",364,3115,"冷卷",2,7.777,11,"2018-02-26 09:56:04","2018-02-26 09:56:24"
"CK20180224820",364,3115,"冷卷",1,4.074,11,"2018-02-24 21:15:58","2018-02-26 09:56:59"
"CK20180225187",364,3115,"冷卷",1,6.209,11,"2018-02-25 10:02:12","2018-02-26 09:57:45"
"CK20180226098",364,3115,"冷卷",1,6.188,11,"2018-02-26 09:58:48","2018-02-26 09:59:06"
"CK20180226100",364,3115,"冷卷",1,6.23,11,"2018-02-26 10:00:14","2018-02-26 10:00:33"
"CK20180226104",364,3115,"冷卷",3,16.24,11,"2018-02-26 10:02:05","2018-02-26 10:02:25"
"CK20180226099",1231,3109,"热卷",2,30.786,11,"2018-02-26 10:00:13","2018-02-26 10:02:31"
"CK20180226105",952,33419,"矩形坯",36,56.1379,11,"2018-02-26 10:03:07","2018-02-26 10:03:07"
"CK20180224338",364,3115,"冷卷",1,3.633,11,"2018-02-24 12:58:46","2018-02-26 10:03:48"
"CK20180226106",502,33419,"矩形坯",36,56.1379,11,"2018-02-26 10:04:58","2018-02-26 10:05:06"
"CK20180226101",1231,3109,"热卷",2,30.653,11,"2018-02-26 10:00:51","2018-02-26 10:06:10"
"CKW20180226007",684,3109,"热卷",1,20.615,11,"2018-02-26 10:10:13","2018-02-26 10:10:13"
