"r2014","r2015","r2016","r2017","r2018","r2019","r2020","r2021","r2022"
"RK20180420638",1212,3109,"热卷",2,40.544,2,"2018-04-23 00:01:40","2018-04-23 00:01:40"
"RK20180420645",1212,3109,"热卷",3,39.291,2,"2018-04-23 00:02:25","2018-04-23 00:02:25"
"RK20180420650",1212,3109,"热卷",3,39.284,2,"2018-04-23 00:05:48","2018-04-23 00:05:48"
"RK20180420633",1212,3105,"低合金卷",1,19.663,2,"2018-04-23 00:06:58","2018-04-23 00:06:58"
"RK20180420633",1212,3109,"热卷",1,20.293,2,"2018-04-23 00:06:58","2018-04-23 00:06:58"
"RK20180420653",1212,3109,"热卷",3,39.235,2,"2018-04-23 00:07:34","2018-04-23 00:07:34"
"RK20180420642",1212,3109,"热卷",3,39.235,2,"2018-04-23 00:12:35","2018-04-23 00:12:35"
"RK20180420637",1212,3105,"低合金卷",2,40.383,2,"2018-04-23 00:13:15","2018-04-23 00:13:15"
"RK20180420631",1212,3105,"低合金卷",2,39.8258,2,"2018-04-23 00:15:39","2018-04-23 00:15:39"
"RK20180420622",1212,3109,"热卷",2,40.1464,2,"2018-04-23 00:18:59","2018-04-23 00:18:59"
"RK20180420639",1212,3105,"低合金卷",1,20.258,2,"2018-04-23 00:23:21","2018-04-23 00:23:21"
"RK20180420639",1212,3109,"热卷",1,20.265,2,"2018-04-23 00:23:21","2018-04-23 00:23:21"
"RK20180420624",1212,3105,"低合金卷",2,40.285,2,"2018-04-23 00:24:08","2018-04-23 00:24:08"
"RK20180420628",1212,3105,"低合金卷",2,40.558,2,"2018-04-23 00:24:22","2018-04-23 00:24:22"
"RK20180420651",1212,3109,"热卷",3,38.829,2,"2018-04-23 00:28:09","2018-04-23 00:28:09"
"RK20180420623",1212,3109,"热卷",2,40.453,2,"2018-04-23 00:31:47","2018-04-23 00:31:47"
"RK20180420636",1212,3109,"热卷",2,40.544,2,"2018-04-23 00:34:33","2018-04-23 00:34:33"
"RK20180420648",1212,3109,"热卷",3,39.095,2,"2018-04-23 00:35:11","2018-04-23 00:35:11"
"RK20180420640",1212,3109,"热卷",2,40.341,2,"2018-04-23 00:35:35","2018-04-23 00:35:35"
"RK20180420647",1212,3109,"热卷",3,39.207,2,"2018-04-23 00:41:25","2018-04-23 00:41:25"
"RK20180422018",1161,3109,"热卷",2,22.232,2,"2018-04-23 01:00:25","2018-04-23 01:00:25"
"RK20180422302",292,3109,"热卷",1,20.4855,2,"2018-04-23 01:00:49","2018-04-23 01:00:49"
"RK20180422248",192,3109,"热卷",1,20.5485,2,"2018-04-23 01:02:22","2018-04-23 01:02:22"
