"c2014","c2015","c2016","c2017","c2018","c2019","c2020","c2021","c2022"
"CK20180423001",189,33326,"冷硬卷",4,59.78,11,"2018-04-23 00:16:05","2018-04-23 00:18:23"
"CK20180423002",189,33326,"冷硬卷",5,74.095,11,"2018-04-23 00:21:04","2018-04-23 00:31:02"
"CK20180423003",189,33326,"冷硬卷",4,59.668,11,"2018-04-23 00:39:26","2018-04-23 00:52:24"
"CK20180423004",189,33326,"冷硬卷",4,58.324,11,"2018-04-23 00:47:57","2018-04-23 00:56:02"
"CK20180423005",189,33326,"冷硬卷",4,59.283,11,"2018-04-23 01:06:35","2018-04-23 01:18:15"
"CK20180423006",1128,376,"低合金中板",5,11.0999,11,"2018-04-23 01:19:36","2018-04-23 01:20:22"
"CK20180423007",1128,33414,"低合金中厚板",6,22.7752,11,"2018-04-23 01:20:03","2018-04-23 01:20:49"
"CK20180423009",433,376,"低合金中板",13,36.7388,11,"2018-04-23 02:56:19","2018-04-23 02:57:23"
"CK20180423010",364,3114,"冷板",1,3.276,11,"2018-04-23 06:43:22","2018-04-23 06:44:11"
"CK20180423008",973,3115,"冷卷",5,25.27,11,"2018-04-23 02:37:32","2018-04-23 07:04:08"
"CK20180423008",973,3119,"镀锌卷",3,13.965,11,"2018-04-23 02:37:32","2018-04-23 07:04:08"
"CK20180423011",1149,3115,"冷卷",13,58.555,11,"2018-04-23 07:34:52","2018-04-23 07:37:27"
"CK20180423012",501,36,"盘螺",28,37.8,11,"2018-04-23 07:39:39","2018-04-23 07:40:28"
"CK20180423013",1046,323,"无缝管",21,5.6518,11,"2018-04-23 07:43:14","2018-04-23 07:43:14"
"CK20180423014",1852,323,"无缝管",21,5.6518,11,"2018-04-23 07:44:22","2018-04-23 07:45:12"
"CK20180422396",1149,3115,"冷卷",12,55.307,11,"2018-04-22 22:53:47","2018-04-23 07:45:39"
"CK20180423021",967,33330,"热轧带钢",13,42.0714,11,"2018-04-23 09:04:18","2018-04-23 09:09:17"
"CKW20180423001",194,3115,"冷卷",1,7.119,11,"2018-04-23 09:16:11","2018-04-23 09:16:11"
"CK20180423034",1346,3115,"冷卷",3,16.436,11,"2018-04-23 09:27:54","2018-04-23 09:33:56"
"CK20180423039",1231,33330,"热轧带钢",6,21.9086,11,"2018-04-23 09:40:11","2018-04-23 09:41:02"
"CK20180423043",1621,3109,"热卷",1,19.922,11,"2018-04-23 09:44:14","2018-04-23 09:44:14"
"CK20180423046",967,33330,"热轧带钢",12,38.584,11,"2018-04-23 09:51:48","2018-04-23 09:52:42"
"CKW20180423002",330,379,"花纹卷",2,14.483,11,"2018-04-23 09:55:05","2018-04-23 09:55:05"
"CKW20180423003",330,379,"花纹卷",2,14.5915,11,"2018-04-23 09:56:08","2018-04-23 09:56:08"
"CKW20180423004",1681,379,"花纹卷",1,16.5445,11,"2018-04-23 09:57:30","2018-04-23 09:57:30"
"CK20180423047",1346,3115,"冷卷",5,22.897,11,"2018-04-23 09:59:39","2018-04-23 10:03:36"
"CK20180423048",410,3115,"冷卷",5,33.649,11,"2018-04-23 10:04:12","2018-04-23 10:04:12"
"CK201804201086",364,3115,"冷卷",1,8.372,11,"2018-04-20 20:38:49","2018-04-23 10:04:49"
"CK201804201101",364,3115,"冷卷",1,8.05,11,"2018-04-20 20:53:17","2018-04-23 10:05:10"
"CK201804191132",364,3115,"冷卷",1,8.309,11,"2018-04-19 20:45:52","2018-04-23 10:05:34"
"CKW20180423005",292,3109,"热卷",1,20.4225,11,"2018-04-23 10:06:06","2018-04-23 10:06:06"
"CK20180423052",364,3115,"冷卷",1,3.213,11,"2018-04-23 10:06:32","2018-04-23 10:07:25"
"CK20180423055",364,3115,"冷卷",1,3.213,11,"2018-04-23 10:07:40","2018-04-23 10:08:27"
"CK20180423056",433,372,"普碳中板",1,9.9008,11,"2018-04-23 10:07:48","2018-04-23 10:08:39"
"CK201804191115",364,3115,"冷卷",1,4.725,11,"2018-04-19 20:35:05","2018-04-23 10:09:00"
"CK201804191133",364,3115,"冷卷",1,3.815,11,"2018-04-19 20:46:11","2018-04-23 10:09:36"
"CK201804191184",364,3115,"冷卷",2,8.211,11,"2018-04-19 21:26:56","2018-04-23 10:09:57"
"CK20180421373",427,3115,"冷卷",2,11.249,11,"2018-04-21 13:32:50","2018-04-23 10:10:17"
